Cutoff_Key,Cutoff_Side,Retain_Pct,Retain_Ratio,Cutoff_Signed_Pct,Cutoff_Label
high_48,high,48,0.48,48,H48
high_49,high,49,0.49,49,H49
high_50,high,50,0.5,50,H50
high_51,high,51,0.51,51,H51
high_52,high,52,0.52,52,H52
high_53,high,53,0.53,53,H53
high_54,high,54,0.54,54,H54
high_55,high,55,0.55,55,H55
high_56,high,56,0.56,56,H56
high_57,high,57,0.57,57,H57
high_58,high,58,0.58,58,H58
high_59,high,59,0.59,59,H59
high_60,high,60,0.6,60,H60
high_61,high,61,0.61,61,H61
high_62,high,62,0.62,62,H62
high_63,high,63,0.63,63,H63
high_64,high,64,0.64,64,H64
high_65,high,65,0.65,65,H65
high_66,high,66,0.66,66,H66
high_67,high,67,0.67,67,H67
high_68,high,68,0.68,68,H68
high_69,high,69,0.69,69,H69
high_70,high,70,0.7,70,H70
high_71,high,71,0.71,71,H71
high_72,high,72,0.72,72,H72
high_73,high,73,0.73,73,H73
high_74,high,74,0.74,74,H74
high_75,high,75,0.75,75,H75
high_76,high,76,0.76,76,H76
high_77,high,77,0.77,77,H77
high_78,high,78,0.78,78,H78
high_79,high,79,0.79,79,H79
high_80,high,80,0.8,80,H80
high_81,high,81,0.81,81,H81
high_82,high,82,0.82,82,H82
high_83,high,83,0.83,83,H83
high_84,high,84,0.84,84,H84
high_85,high,85,0.85,85,H85
high_86,high,86,0.86,86,H86
high_87,high,87,0.87,87,H87
high_88,high,88,0.88,88,H88
high_89,high,89,0.89,89,H89
high_90,high,90,0.9,90,H90
high_91,high,91,0.91,91,H91
high_92,high,92,0.92,92,H92
high_93,high,93,0.93,93,H93
high_94,high,94,0.94,94,H94
high_95,high,95,0.95,95,H95
high_96,high,96,0.96,96,H96
high_97,high,97,0.97,97,H97
high_98,high,98,0.98,98,H98
high_99,high,99,0.99,99,H99
